transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_manual_50_wD,31,Pair 31,2,1734,1606,-0.620961785,7.471808434,-1.661425352,1737.960575,1603.095379,4.911515363
2k_manual_50_wD,32,Pair 32,1,1628,1488,-0.831801713,7.01644516,-1.195568919,1654.155397,1478.266298,27.90787932
2k_manual_50_wD,32,Pair 32,2,2056,1835,0.388932377,6.341479301,-1.976750374,2082.370721,1826.121545,27.82520212
2k_manual_50_wD,36,Pair 36,1,628,1250,-2.160076618,3.936044693,-0.251130134,650.6597094,1244.444583,23.33077564
2k_manual_50_wD,36,Pair 36,2,2096,1511,0.725066602,9.195584297,-1.686050415,2131.503558,1509.897498,35.52067167
2k_manual_50_wD,37,Pair 37,1,482,1668,-5.078583717,8.125874519,-2.047044754,425.6741737,1670.044836,56.3629316
2k_manual_50_wD,37,Pair 37,2,1704,1128,-0.364478946,3.786136389,-0.023307888,1708.622383,1116.76163,12.15184704
2k_manual_50_wD,37,Pair 37,3,2038,1147,0.209737122,3.98927331,-0.081072763,2050.843324,1147.940245,12.87769525
2k_manual_50_wD,39,Pair 39,1,1798,1117,-0.554783821,9.764578819,-0.192815453,1805.107853,1110.499224,9.632323924
2k_manual_50_wD,39,Pair 39,2,1000,460,-1.55228436,3.746417522,0.976319849,968.5957326,496.8278801,48.39959472
2k_manual_50_wD,40,Pair 40,1,1668,417,-0.454003364,2.865203857,1.063067675,1567.596578,284.8407824,165.9726062
2k_manual_50_wD,41,Pair 41,1,1432,1683,-0.629106939,2.895113468,-0.693336129,1431.534235,1657.887271,25.11704825
2k_manual_50_wD,42,Pair 42,1,1472,1999,-0.634747803,3.261282206,-1.232457399,1475.845336,1976.492529,22.83359033
2k_manual_50_wD,43,Pair 43,1,1828,850,-0.365855366,8.363074303,0.77884239,1836.781401,844.7758347,10.21787164
2k_manual_50_wD,43,Pair 43,2,782,1087,-1.758696198,3.606682301,0.023494866,801.8746836,1087.384967,19.87841158
2k_manual_50_wDC,1,Pair 1,1,582,940,-1.755182266,2.979001284,0.215976402,564.0830281,940.7732608,17.93365038
2k_manual_50_wDC,2,Pair 2,1,2184,1554,0.339720845,2.979321241,-0.568287313,2199.948312,1557.802208,16.39528707
2k_manual_50_wDC,2,Pair 2,2,2700,1659,0.839911044,2.547699451,-0.560356319,2718.800648,1651.659601,20.18281051
2k_manual_50_wDC,2,Pair 2,3,2324,910,1.248814464,6.729531288,0.425969362,2356.336429,935.4377759,41.14274061
2k_manual_50_wDC,2,Pair 2,4,3366,882,2.961307287,4.877955914,0.473424524,3361.409521,869.3821238,13.42696158
2k_manual_50_wDC,2,Pair 2,5,3642,1389,3.345664024,4.522165298,-0.513964236,3624.234751,1359.263974,34.63863899
2k_manual_50_wDC,3,Pair 3,1,1844,659,-0.236853689,5.42579174,0.919816792,1834.746673,699.4836879,41.52773833
2k_manual_50_wDC,3,Pair 3,2,1630,651,-0.748585224,5.496043682,0.952216387,1623.814128,689.2235494,38.72085676
2k_manual_50_wDC,3,Pair 3,3,2544,1317,1.440101624,5.284475803,-0.486821651,2562.314607,1301.455918,24.0217261
2k_manual_50_wDC,3,Pair 3,4,560,809,-3.291623354,5.532059669,0.614684761,560.3728441,822.0133116,13.01865169
2k_manual_50_wDC,3,Pair 3,5,3042,880,2.51827383,5.789002419,0.433385998,2952.925238,913.2207977,95.06805216
2k_manual_50_wDC,3,Pair 3,6,176,1593,-1.804683089,2.351196527,-0.466822505,202.6263664,1570.459235,34.88623643
2k_manual_50_wDC,3,Pair 3,7,794,1644,-1.139853597,2.285421848,-0.487943113,766.2283659,1632.038495,30.23807637
2k_manual_50_wDC,4,Pair 4,1,1956,1135,0.0984006,7.439972878,-0.182890698,1960.104123,1130.097318,6.393756249
