1,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Koide,14,Pair 14,2,1216,524,0.644572496,3.027292728,0.089092061,1224.721596,526.2660619,9.01117462
2k_Koide,14,Pair 14,3,1207,698,0.614379764,2.955450058,-0.343248039,1219.312594,699.8965881,12.45780994
2k_Koide,14,Pair 14,4,1470,726,1.192061186,2.809343576,-0.360411644,1485.750434,718.5914486,17.40582662
2k_Koide,15,Pair 15,1,1151,513,0.388175249,2.445595026,0.101069145,1156.228449,518.7495272,7.771340827
2k_Koide,15,Pair 15,2,870,498,-0.212956175,2.435207605,0.130796671,869.5422506,504.8735305,6.888755762
2k_Koide,15,Pair 15,3,856,702,-0.241929248,2.398650885,-0.298250467,853.7894689,711.2742729,9.534074958
2k_Koide,15,Pair 15,4,1142,728,0.379656255,2.466568708,-0.340950578,1151.86469,728.5801466,9.881734372
2k_Koide,16,Pair 16,1,835,500,-0.327681899,2.767223358,0.134366259,832.729565,506.7563581,7.127639811
2k_Koide,16,Pair 16,2,578,486,-0.924859047,2.685894012,0.173277065,566.7057932,488.9801508,11.68077078
2k_Koide,16,Pair 16,3,562,675,-0.945581436,2.66767478,-0.24984476,553.916458,674.7069565,8.08885199
2k_Koide,16,Pair 16,4,827,687,-0.354476452,2.784894466,-0.292012721,821.9465693,685.6507541,5.230451819
2k_Koide,17,Pair 17,1,1257,508,0.451711208,1.878951311,0.099756002,1246.936381,515.0327276,12.27744623
2k_Koide,17,Pair 17,2,879,776,-0.152493805,1.833010912,-0.30822894,875.7233287,767.3599712,9.240490881
2k_Koide,17,Pair 17,3,1256,791,0.458713055,1.911621571,-0.331564724,1249.072861,776.0360856,16.48951169
2k_Koide,18,Pair 18,1,1530,512,0.907741845,1.967763662,0.111677781,1514.491942,508.3371404,15.93475454
2k_Koide,18,Pair 18,2,1504,775,0.875229418,1.966832638,-0.318891615,1496.543361,765.8726709,11.78599163
2k_Koide,19,Pair 19,1,1818,546,1.282537222,1.814601898,0.068482079,1798.547655,533.9032327,22.90688799
2k_Koide,19,Pair 19,2,1417,518,0.793267787,2.119339943,0.10523472,1411.671381,513.8185837,6.773361373
2k_Koide,19,Pair 19,3,1393,764,0.763306797,2.12741375,-0.328383088,1394.990907,753.7882461,10.40401983
2k_Koide,19,Pair 19,4,1791,834,1.255433321,1.793434978,-0.359509081,1786.974438,811.1760923,23.17619288
2k_Koide,22,Pair 22,1,1530,820,0.862586677,1.829873562,-0.345283777,1524.930274,798.8658676,21.7336991
2k_Koide,22,Pair 22,2,982,904,0.014975999,1.688659787,-0.477302015,980.6008006,901.4478248,2.910559593
2k_Manual_50pts,1,Pair 1,1,1060,348,0.644281268,8.177530289,1.35458672,1055.677804,341.2913489,7.980437241
2k_Manual_50pts,1,Pair 1,2,1047,658,0.41730091,5.614927769,-0.56500572,1047.964128,668.4837433,10.52798255
2k_Manual_50pts,1,Pair 1,3,707,335,-1.409311652,6.100589752,1.052605152,683.6485786,332.4327113,23.49212319
2k_Manual_50pts,1,Pair 1,4,984,904,0.022453083,1.686300993,-0.459020048,1001.837422,887.2132797,24.49423607
2k_Manual_50pts,1,Pair 1,5,1716,757,2.366709709,3.7164886,-0.58923769,1727.683232,759.427023,11.93265861
2k_Manual_50pts,2,Pair 2,1,1177,514,0.525034308,2.828646421,0.0989649,1189.224706,529.3034952,19.58674057
2k_Manual_50pts,2,Pair 2,2,936,507,-0.07467816,2.805514336,0.108223192,945.2238596,521.4490209,17.14216416
2k_Manual_50pts,2,Pair 2,3,925,685,-0.096847892,2.750538349,-0.302333862,933.1112472,691.3718777,10.31470588
2k_Manual_50pts,2,Pair 2,4,1181,695,0.514666975,2.708992958,-0.297373027,1192.537624,697.0867607,11.72481705
2k_Manual_50pts,2,Pair 2,5,882,372,-0.510918498,7.270203114,1.000199914,875.4523392,375.0291219,7.214391292
2k_Manual_50pts,2,Pair 2,6,1104,430,0.973343909,7.894141674,0.742744267,1108.372806,429.7502471,4.379932236
2k_Manual_50pts,2,Pair 2,7,481,289,-2.231410027,5.250240326,1.141669035,448.5175463,275.6954995,35.1015602
